Voltage,Capacitance
-80,2.1324982e-10
-79.99984,2.1324982e-10
-79.9996,2.1324982e-10
-79.99924,2.1324983e-10
-79.9987,2.1324981e-10
-79.99789,2.1324984e-10
-79.996675,2.1324986e-10
-79.994852,2.1324985e-10
-79.992119,2.1324989e-10
-79.988018,2.1324994e-10
-79.981867,2.1325001e-10
-79.972641,2.1325015e-10
-79.958801,2.1325032e-10
-79.938042,2.1325057e-10
-79.906903,2.1325094e-10
-79.860194,2.1325148e-10
-79.790131,2.1325233e-10
-79.685036,2.1325361e-10
-79.527395,2.1325552e-10
-79.290932,2.132584e-10
-78.936238,2.1326277e-10
-78.404197,2.1326932e-10
-77.606135,2.1327923e-10
-76.435645,2.1329395e-10
-74.835645,2.1331444e-10
-73.235645,2.1333544e-10
-71.635645,2.133569e-10
-70.035645,2.1337886e-10
-68.435645,2.1340134e-10
-66.835645,2.1342437e-10
-65.235645,2.1344797e-10
-64,2.1346661e-10
-62.4,2.1349127e-10
-60.8,2.1351662e-10
-59.2,2.1354267e-10
-57.6,2.135694e-10
-56,2.1359694e-10
-54.4,2.1362525e-10
-52.8,2.136544e-10
-51.2,2.1368445e-10
-49.6,2.1371544e-10
-48,2.1374737e-10
-46.4,2.1378043e-10
-44.8,2.1381461e-10
-43.2,2.1384999e-10
-41.6,2.1388666e-10
-40,2.1392469e-10
-38.4,2.1396418e-10
-36.8,2.1400525e-10
-35.2,2.14048e-10
-33.6,2.1409257e-10
-32,2.1413911e-10
-30.4,2.1418776e-10
-28.8,2.1423879e-10
-27.2,2.1429219e-10
-25.6,2.1434843e-10
-24,2.1440763e-10
-22.4,2.1447012e-10
-20.8,2.1453624e-10
-19.2,2.1460636e-10
-17.6,2.1468094e-10
-16,2.1476048e-10
-14.4,2.1484555e-10
-12.8,2.1493682e-10
-11.2,2.1503514e-10
-9.6,2.1514129e-10
-8,2.1525644e-10
-6.4,2.1538157e-10
-4.8,2.1551807e-10
-3.2,2.1566705e-10
-1.6,2.1582958e-10
0,2.1600609e-10
1.6,2.1619463e-10
3.2,2.1639055e-10
4.8,2.1657992e-10
6.4,2.1673212e-10
8,2.1678332e-10
9.6,2.1661478e-10
11.2,2.1604636e-10
12.8,2.1491526e-10
14.4,2.1327406e-10
16,2.1141232e-10
17.6,2.0945733e-10
19.2,2.0725873e-10
20.8,2.0477311e-10
22.4,2.0211316e-10
24,1.9939223e-10
25.6,1.9673256e-10
27.2,1.9426207e-10
28.8,1.9210476e-10
30.4,1.9036395e-10
32,1.8911234e-10
33.6,1.8840389e-10
35.2,1.8829242e-10
36.8,1.8884687e-10
38.4,1.9017412e-10
40,1.9245104e-10
41.6,1.9595538e-10
43.2,2.0110875e-10
44.8,2.0855723e-10
46.4,2.1929437e-10
48,2.3479675e-10
49.6,2.5713937e-10
51.2,2.8919652e-10
52.8,3.3523381e-10
54.4,4.01611e-10
56,4.9427026e-10
57.6,6.0705311e-10
59.2,7.125206e-10
60.8,7.8450838e-10
62.4,8.2388049e-10
64,8.4404047e-10
65.6,8.5452473e-10
67.2,8.6050638e-10
68.8,8.6287502e-10
70.4,8.6446498e-10
72,8.6546569e-10
73.6,8.6552728e-10
75.2,8.6717304e-10
76.8,8.6866866e-10
78.4,8.6975679e-10
80,8.7133378e-10

