Voltage,Capacitance
-80,2.3002142e-10
-79.99984,2.3002142e-10
-79.9996,2.3002143e-10
-79.99924,2.3002143e-10
-79.9987,2.3002141e-10
-79.99789,2.3002143e-10
-79.996675,2.3002144e-10
-79.994852,2.3002143e-10
-79.992119,2.3002144e-10
-79.988018,2.3002146e-10
-79.981867,2.3002149e-10
-79.972641,2.3002154e-10
-79.958801,2.3002159e-10
-79.938042,2.300217e-10
-79.906903,2.3002183e-10
-79.860194,2.3002202e-10
-79.790131,2.3002233e-10
-79.685036,2.3002279e-10
-79.527395,2.3002349e-10
-79.290932,2.3002454e-10
-78.936238,2.3002612e-10
-78.404197,2.3002849e-10
-77.606135,2.3003206e-10
-76.409043,2.3003746e-10
-74.809043,2.3004475e-10
-73.209043,2.3005217e-10
-71.609043,2.3005969e-10
-70.009043,2.300673e-10
-68.409043,2.3007503e-10
-66.809043,2.3008287e-10
-65.209043,2.3009083e-10
-64,2.3009692e-10
-62.4,2.3010507e-10
-60.8,2.3011337e-10
-59.2,2.3012181e-10
-57.6,2.3013036e-10
-56,2.3013907e-10
-54.4,2.3014791e-10
-52.8,2.301569e-10
-51.2,2.3016604e-10
-49.6,2.3017534e-10
-48,2.3018481e-10
-46.4,2.3019444e-10
-44.8,2.3020425e-10
-43.2,2.3021423e-10
-41.6,2.3022441e-10
-40,2.3023477e-10
-38.4,2.3024534e-10
-36.8,2.3025612e-10
-35.2,2.3026712e-10
-33.6,2.3027835e-10
-32,2.3028981e-10
-30.4,2.3030152e-10
-28.8,2.3031347e-10
-27.2,2.3032571e-10
-25.6,2.303382e-10
-24,2.30351e-10
-22.4,2.3036411e-10
-20.8,2.3037754e-10
-19.2,2.3039131e-10
-17.6,2.3040542e-10
-16,2.3041992e-10
-14.4,2.304348e-10
-12.8,2.3045011e-10
-11.2,2.3046583e-10
-9.6,2.3048201e-10
-8,2.3049868e-10
-6.4,2.3051587e-10
-4.8,2.3053361e-10
-3.2,2.3055193e-10
-1.6,2.3057086e-10
0,2.3059046e-10
1.6,2.3061076e-10
3.2,2.3063184e-10
4.8,2.3065373e-10
6.4,2.306765e-10
8,2.3070022e-10
9.6,2.3072497e-10
11.2,2.3075084e-10
12.8,2.3077793e-10
14.4,2.3080634e-10
16,2.3083623e-10
17.6,2.3086774e-10
19.2,2.3090103e-10
20.8,2.3093629e-10
22.4,2.3097376e-10
24,2.3101367e-10
25.6,2.3105632e-10
27.2,2.3110203e-10
28.8,2.3115106e-10
30.4,2.3120364e-10
32,2.3125974e-10
33.6,2.3131853e-10
35.2,2.3137685e-10
36.8,2.3142373e-10
38.4,2.31416e-10
40,2.3110587e-10
41.6,2.2734692e-10
43.2,2.0497733e-10
44.8,1.9187968e-10
46.4,2.4192638e-10
48,6.3031141e-10
49.6,8.3450225e-10
51.2,8.6150142e-10
52.8,8.678096e-10
54.4,8.7039369e-10
56,8.7167548e-10
57.6,8.7214262e-10
59.2,8.7258335e-10
60.8,8.7355474e-10
62.4,8.7378974e-10
64,8.739392e-10
65.6,8.7412556e-10
67.2,8.7428617e-10
68.8,8.7439047e-10
70.4,8.7451205e-10
72,8.746001e-10
73.6,8.746736e-10
75.2,8.747504e-10
76.8,8.7479153e-10
78.4,8.7484846e-10
80,8.7490555e-10

