Voltage,Capacitance
-80,1.8179604e-10
-79.99984,1.8179187e-10
-79.999611,1.8179354e-10
-79.999267,1.8179075e-10
-79.998751,1.8179322e-10
-79.997977,1.8179092e-10
-79.996816,1.8179669e-10
-79.995074,1.8179113e-10
-79.992462,1.8179435e-10
-79.988544,1.8178853e-10
-79.982666,1.8179258e-10
-79.97385,1.8179269e-10
-79.960625,1.8179337e-10
-79.940788,1.8179906e-10
-79.911033,1.8179826e-10
-79.8664,1.8179563e-10
-79.799451,1.8179163e-10
-79.699028,1.8179528e-10
-79.548392,1.8179604e-10
-79.322439,1.8179449e-10
-78.983509,1.8179755e-10
-78.475114,1.8179901e-10
-77.712522,1.8179843e-10
-76.568634,1.8179267e-10
-74.968634,1.8179502e-10
-73.368634,1.8179188e-10
-71.768634,1.8179426e-10
-70.168634,1.8179028e-10
-68.568634,1.8179348e-10
-66.968634,1.817911e-10
-65.368634,1.8179238e-10
-64,1.8179105e-10
-62.4,1.8177771e-10
-60.8,1.8178306e-10
-59.2,1.8179068e-10
-57.6,1.817884e-10
-56,1.8178744e-10
-54.4,1.8178842e-10
-52.8,1.8178646e-10
-51.2,1.8178619e-10
-49.6,1.8178615e-10
-48,1.8178741e-10
-46.4,1.8178297e-10
-44.8,1.8178154e-10
-43.2,1.8178425e-10
-41.6,1.8177938e-10
-40,1.8177986e-10
-38.4,1.8178055e-10
-36.8,1.8178189e-10
-35.2,1.8177734e-10
-33.6,1.8177809e-10
-32,1.8177572e-10
-30.4,1.8177317e-10
-28.8,1.8176908e-10
-27.2,1.8177261e-10
-25.6,1.8177334e-10
-24,1.8176953e-10
-22.4,1.8176866e-10
-20.8,1.8176344e-10
-19.2,1.8176599e-10
-17.6,1.8176632e-10
-16,1.8176397e-10
-14.4,1.8176264e-10
-12.8,1.8176141e-10
-11.2,1.8175939e-10
-9.6,1.8174998e-10
-8,1.8175598e-10
-6.4,1.8174929e-10
-4.8,1.8174899e-10
-3.2,1.817455e-10
-1.6,1.8174668e-10
0,1.8174434e-10
1.6,1.8173491e-10
3.2,1.8173708e-10
4.8,1.8173233e-10
6.4,1.8172827e-10
8,1.8172552e-10
9.6,1.817215e-10
11.2,1.8171642e-10
12.8,1.8171036e-10
14.4,1.8170343e-10
16,1.8169614e-10
17.6,1.8168884e-10
19.2,1.8167906e-10
20.8,1.8166827e-10
22.4,1.8165537e-10
24,1.8163877e-10
25.6,1.8161977e-10
27.2,1.8158926e-10
28.8,1.8156201e-10
30.4,1.8151396e-10
32,1.8145512e-10
33.6,1.8126275e-10
35.2,1.8092779e-10
36.8,1.7996289e-10
38.4,1.7907193e-10
40,1.7897689e-10
41.6,1.7952918e-10
43.2,1.8115936e-10
44.8,1.8420333e-10
46.4,1.8887381e-10
48,1.9626026e-10
49.6,2.085868e-10
51.2,2.3572359e-10
52.8,3.9494906e-10
54.4,8.0914793e-10
56,8.5452584e-10
57.6,8.66955e-10
59.2,8.6983855e-10
60.8,8.7127368e-10
62.4,8.7252803e-10
64,8.7269965e-10
65.6,8.7370499e-10
67.2,8.7404313e-10
68.8,8.7370772e-10
70.4,8.7431402e-10
72,8.7416223e-10
73.6,8.7487328e-10
75.2,8.7434382e-10
76.8,8.7473309e-10
78.4,8.7455854e-10
80,8.7457515e-10

